county_fips,epg_natural_gas,clean_energy_jobs,grid_infrastructure_jobs,any_tech_1000_100_coverage,any_tech_100_20_coverage,cable_fiber_100_20_coverage,fiber_100_20_coverage,fiber_availability,high_speed_wired_coverage,land_value_1_4_acre_standardized,commercial_price,industrial_price,num_datacenters
18035,5.0,47.93763006110595,192.4988122336143,0.1137,1.0,0.1236,0.0915,0.0913,0.1137,51800.0,0.114464562843872,0.0807304539742875,0.0
18037,5.0,30.26177671842945,57.53122682468368,0.4097,1.0,0.6443,0.404,0.3877,0.4094,41900.0,0.1370602581487678,0.0983403626740061,0.0
18039,5.0,304.294140086315,422.2669940706926,0.582,1.0,0.848,0.5819,0.5819,0.582,81000.0,0.1407664295223955,0.0640185153345458,0.0061601642710472
18041,5.0,15.0,39.87720321280463,0.1741,1.0,0.9201,0.1768,0.1741,0.1741,,0.1264644782995409,0.0860984430029623,0.0
18043,5.0,49.271506811304135,104.40340614904424,0.9397,1.0,0.9734,0.9399,0.9397,0.9397,106900.0,0.1174507151498923,0.0994033749290878,0.0
18045,5.0,15.0,353.8863226261842,0.7798,1.0,0.9437,0.7795,0.7792,0.7798,,0.1220577331398703,0.0860945019550777,0.0
18047,5.0,15.0,44.64639492285234,0.1014,1.0,0.6364,0.1034,0.1014,0.1014,68400.0,0.1245878600159413,0.0869900593656293,0.0
18049,5.0,42.93151468952588,43.33072081209136,0.2971,1.0,0.6688,0.2976,0.2971,0.2971,82800.0,0.0923654735532129,0.0847076250154626,0.0
18051,5.0,19.818919274650128,36.29367469009385,0.6445,0.9999,0.6445,0.6303,0.6303,0.6445,56000.0,0.1308682832344718,0.092147568011559,0.0
18053,5.0,25.69637956403075,77.96404892725181,0.6371,1.0,0.8714,0.6512,0.6371,0.6371,31100.0,0.1134771513588681,0.0826854457134135,0.0
18055,5.0,15.0,111.8006582452138,0.7886,1.0,0.9664,0.7813,0.781,0.7886,46200.0,0.1333478639770471,0.0959605364466908,0.0
18057,51.248676605775245,265.2286591211422,1081.997299241875,0.5204,1.0,0.7969,0.5204,0.5204,0.5204,179200.0,0.1231871298415993,0.0892554722046285,2.87656622674511
18059,5.0,91.8501154363698,154.8556172050058,0.5556,1.0,0.9308,0.556,0.5556,0.5556,94800.0,0.1292162891741785,0.0973614748004519,5.11578947368421
18061,5.0,15.0,101.69693976143591,0.6252,1.0,0.6683,0.6252,0.6252,0.6252,73300.0,0.1230783589899322,0.1048199635569683,0.0
18063,5.0,70.08935975558015,943.6312247934494,0.3274,1.0,0.9752,0.2282,0.227,0.3274,120100.0,0.114484145810491,0.0793718256444386,8.21102939433916
18065,29.625336155987902,20.822006323988457,140.02897900696908,0.4374,0.9999,0.9142,0.3773,0.3746,0.4374,35200.0,0.116314843331068,0.0867601051489554,0.0
